Date,Open,High,Close,Low
"2020-01-01 17:00:00",1.4555,1.4561,1.4560,1.4550
"2020-01-01 18:00:00",1.4560,1.4562,1.4556,1.4556
"2020-01-01 19:00:00",1.4556,1.4558,1.4557,1.4554
"2020-01-01 20:00:00",1.4558,1.4563,1.4556,1.4554
"2020-01-01 21:00:00",1.4557,1.4565,1.4564,1.4553
"2020-01-01 22:00:00",1.4565,1.4568,1.4562,1.4560
"2020-01-01 23:00:00",1.4562,1.4563,1.4552,1.4552
"2020-01-02 00:00:00",1.4552,1.4556,1.4551,1.4551
"2020-01-02 01:00:00",1.4553,1.4554,1.4551,1.4549
"2020-01-02 02:00:00",1.4553,1.4559,1.4555,1.4548
"2020-01-02 03:00:00",1.4557,1.4559,1.4543,1.4538
"2020-01-02 04:00:00",1.4544,1.4548,1.4542,1.4537
"2020-01-02 05:00:00",1.4542,1.4550,1.4547,1.4537
"2020-01-02 06:00:00",1.4548,1.4557,1.4544,1.4544
"2020-01-02 07:00:00",1.4544,1.4549,1.4541,1.4537
"2020-01-02 08:00:00",1.4542,1.4557,1.4545,1.4541
"2020-01-02 09:00:00",1.4547,1.4550,1.4521,1.4519
"2020-01-02 10:00:00",1.4523,1.4538,1.4534,1.4510
"2020-01-02 11:00:00",1.4536,1.4541,1.4513,1.4514
"2020-01-02 12:00:00",1.4514,1.4522,1.4514,1.4510
"2020-01-02 13:00:00",1.4516,1.4518,1.4510,1.4507
"2020-01-02 14:00:00",1.4511,1.4511,1.4505,1.4498
"2020-01-02 15:00:00",1.4505,1.4509,1.4505,1.4504
"2020-01-02 16:00:00",1.4505,1.4512,1.4499,1.4499
"2020-01-02 17:00:00",1.4498,1.4506,1.4503,1.4498
"2020-01-02 18:00:00",1.4503,1.4508,1.4504,1.4504
"2020-01-02 19:00:00",1.4504,1.4511,1.4509,1.4503
"2020-01-02 20:00:00",1.4509,1.4510,1.4504,1.4503
"2020-01-02 21:00:00",1.4506,1.4517,1.4510,1.4501
"2020-01-02 22:00:00",1.4511,1.4521,1.4516,1.4511
"2020-01-02 23:00:00",1.4516,1.4521,1.4512,1.4511
"2020-01-03 00:00:00",1.4513,1.4515,1.4509,1.4509
"2020-01-03 01:00:00",1.4509,1.4511,1.4503,1.4502
