Date,Open,High,Close,Low
"2019-01-01 17:00:00",1.1242,1.1257,1.1246,1.1232
"2019-01-01 18:00:00",1.1250,1.1262,1.1256,1.1249
"2019-01-01 19:00:00",1.1256,1.1264,1.1263,1.1254
"2019-01-01 20:00:00",1.1264,1.1269,1.1263,1.1262
"2019-01-01 21:00:00",1.1263,1.1267,1.1258,1.1256
"2019-01-01 22:00:00",1.1258,1.1258,1.1258,1.1257
"2019-01-01 23:00:00",1.1258,1.1258,1.1257,1.1256
"2019-01-02 00:00:00",1.1257,1.1269,1.1267,1.1257
"2019-01-02 01:00:00",1.1267,1.1269,1.1266,1.1261
"2019-01-02 02:00:00",1.1267,1.1271,1.1262,1.1263
"2019-01-02 03:00:00",1.1263,1.1264,1.1234,1.1234
"2019-01-02 04:00:00",1.1234,1.1248,1.1246,1.1227
"2019-01-02 05:00:00",1.1248,1.1258,1.1257,1.1243
"2019-01-02 06:00:00",1.1257,1.1262,1.1255,1.1254
"2019-01-02 07:00:00",1.1256,1.1258,1.1242,1.1242
"2019-01-02 08:00:00",1.1242,1.1243,1.1237,1.1231
"2019-01-02 09:00:00",1.1239,1.1246,1.1229,1.1230
"2019-01-02 10:00:00",1.1231,1.1237,1.1220,1.1221
"2019-01-02 11:00:00",1.1222,1.1231,1.1225,1.1222
"2019-01-02 12:00:00",1.1225,1.1228,1.1224,1.1217
"2019-01-02 13:00:00",1.1224,1.1236,1.1231,1.1220
"2019-01-02 14:00:00",1.1234,1.1243,1.1233,1.1233
"2019-01-02 15:00:00",1.1234,1.1237,1.1234,1.1233
"2019-01-02 16:00:00",1.1234,1.1237,1.1229,1.1229
"2019-01-02 17:00:00",1.1229,1.1233,1.1196,1.1194
"2019-01-02 18:00:00",1.1198,1.1219,1.1188,1.1185
"2019-01-02 19:00:00",1.1190,1.1213,1.1205,1.1196
"2019-01-02 20:00:00",1.1205,1.1209,1.1205,1.1198
"2019-01-02 21:00:00",1.1205,1.1219,1.1212,1.1205
"2019-01-02 22:00:00",1.1212,1.1221,1.1215,1.1209
"2019-01-02 23:00:00",1.1215,1.1215,1.1212,1.1212
"2019-01-03 00:00:00",1.1212,1.1213,1.1204,1.1200
"2019-01-03 01:00:00",1.1204,1.1206,1.1201,1.1194
"2019-01-03 02:00:00",1.1202,1.1220,1.1218,1.1200
"2019-01-03 03:00:00",1.1219,1.1231,1.1219,1.1215
"2019-01-03 04:00:00",1.1220,1.1231,1.1221,1.1217
"2019-01-03 05:00:00",1.1221,1.1238,1.1233,1.1218
"2019-01-03 06:00:00",1.1235,1.1236,1.1222,1.1218
"2019-01-03 07:00:00",1.1223,1.1228,1.1223,1.1221
"2019-01-03 08:00:00",1.1223,1.1235,1.1233,1.1216
"2019-01-03 09:00:00",1.1234,1.1248,1.1237,1.1233
"2019-01-03 10:00:00",1.1239,1.1274,1.1270,1.1231
"2019-01-03 11:00:00",1.1271,1.1276,1.1270,1.1267
"2019-01-03 12:00:00",1.1272,1.1275,1.1270,1.1266
"2019-01-03 13:00:00",1.1270,1.1276,1.1275,1.1265
"2019-01-03 14:00:00",1.1276,1.1278,1.1260,1.1260
"2019-01-03 15:00:00",1.1260,1.1266,1.1260,1.1260
"2019-01-03 16:00:00",1.1260,1.1260,1.1240,1.1240
"2019-01-03 17:00:00",1.1240,1.1245,1.1243,1.1236
"2019-01-03 18:00:00",1.1243,1.1250,1.1245,1.1242
"2019-01-03 19:00:00",1.1245,1.1251,1.1247,1.1245
"2019-01-03 20:00:00",1.1247,1.1250,1.1247,1.1241
"2019-01-03 21:00:00",1.1247,1.1253,1.1246,1.1245
"2019-01-03 22:00:00",1.1246,1.1252,1.1249,1.1243
"2019-01-03 23:00:00",1.1250,1.1255,1.1253,1.1248
"2019-01-04 00:00:00",1.1253,1.1253,1.1244,1.1243
"2019-01-04 01:00:00",1.1244,1.1244,1.1242,1.1239
"2019-01-04 02:00:00",1.1242,1.1258,1.1255,1.1240
"2019-01-04 03:00:00",1.1255,1.1257,1.1248,1.1246
"2019-01-04 04:00:00",1.1249,1.1258,1.1253,1.1245
"2019-01-04 05:00:00",1.1255,1.1269,1.1262,1.1255
"2019-01-04 06:00:00",1.1263,1.1267,1.1263,1.1259
"2019-01-04 07:00:00",1.1265,1.1267,1.1257,1.1256
"2019-01-04 08:00:00",1.1258,1.1259,1.1248,1.1247
"2019-01-04 09:00:00",1.1248,1.1253,1.1238,1.1236
"2019-01-04 10:00:00",1.1240,1.1259,1.1245,1.1232
"2019-01-04 11:00:00",1.1247,1.1256,1.1249,1.1246
"2019-01-04 12:00:00",1.1249,1.1249,1.1245,1.1239
"2019-01-04 13:00:00",1.1246,1.1253,1.1246,1.1244
"2019-01-04 14:00:00",1.1247,1.1247,1.1244,1.1239
"2019-01-04 15:00:00",1.1245,1.1250,1.1246,1.1244
"2019-01-04 16:00:00",1.1247,1.1248,1.1238,1.1238
"2019-01-06 17:00:00",1.1243,1.1255,1.1249,1.1231
"2019-01-06 18:00:00",1.1250,1.1260,1.1248,1.1248
"2019-01-06 19:00:00",1.1248,1.1248,1.1240,1.1240
"2019-01-06 20:00:00",1.1240,1.1247,1.1242,1.1239
"2019-01-06 21:00:00",1.1243,1.1243,1.1242,1.1241
"2019-01-06 22:00:00",1.1242,1.1244,1.1243,1.1240
"2019-01-06 23:00:00",1.1243,1.1249,1.1243,1.1243
"2019-01-07 00:00:00",1.1244,1.1246,1.1244,1.1241
"2019-01-07 01:00:00",1.1244,1.1246,1.1238,1.1237
"2019-01-07 02:00:00",1.1238,1.1254,1.1252,1.1234
"2019-01-07 03:00:00",1.1254,1.1254,1.1248,1.1241
"2019-01-07 04:00:00",1.1249,1.1251,1.1239,1.1240
"2019-01-07 05:00:00",1.1240,1.1244,1.1240,1.1234
"2019-01-07 06:00:00",1.1241,1.1242,1.1233,1.1232
"2019-01-07 07:00:00",1.1233,1.1236,1.1228,1.1228
"2019-01-07 08:00:00",1.1229,1.1234,1.1230,1.1226
"2019-01-07 09:00:00",1.1232,1.1239,1.1229,1.1229
"2019-01-07 10:00:00",1.1233,1.1255,1.1251,1.1224
"2019-01-07 11:00:00",1.1251,1.1257,1.1248,1.1241
"2019-01-07 12:00:00",1.1250,1.1250,1.1247,1.1237
"2019-01-07 13:00:00",1.1247,1.1255,1.1247,1.1246
"2019-01-07 14:00:00",1.1248,1.1251,1.1243,1.1244
"2019-01-07 15:00:00",1.1244,1.1246,1.1242,1.1240
"2019-01-07 16:00:00",1.1243,1.1243,1.1240,1.1238
"2019-01-07 17:00:00",1.1239,1.1245,1.1241,1.1237
"2019-01-07 18:00:00",1.1242,1.1243,1.1241,1.1237
"2019-01-07 19:00:00",1.1241,1.1246,1.1237,1.1237
"2019-01-07 20:00:00",1.1237,1.1239,1.1228,1.1228
"2019-01-07 21:00:00",1.1229,1.1235,1.1229,1.1228
"2019-01-07 22:00:00",1.1229,1.1233,1.1232,1.1226
"2019-01-07 23:00:00",1.1233,1.1236,1.1229,1.1228
"2019-01-08 00:00:00",1.1229,1.1230,1.1228,1.1226
"2019-01-08 01:00:00",1.1229,1.1231,1.1227,1.1226
"2019-01-08 02:00:00",1.1227,1.1230,1.1223,1.1220
"2019-01-08 03:00:00",1.1225,1.1235,1.1226,1.1221
"2019-01-08 04:00:00",1.1227,1.1231,1.1227,1.1223
"2019-01-08 05:00:00",1.1228,1.1229,1.1226,1.1222
"2019-01-08 06:00:00",1.1226,1.1234,1.1230,1.1225
"2019-01-08 07:00:00",1.1230,1.1234,1.1231,1.1223
"2019-01-08 08:00:00",1.1231,1.1238,1.1230,1.1229
"2019-01-08 09:00:00",1.1230,1.1235,1.1226,1.1225
"2019-01-08 10:00:00",1.1228,1.1231,1.1227,1.1222
"2019-01-08 11:00:00",1.1229,1.1230,1.1227,1.1221
"2019-01-08 12:00:00",1.1227,1.1234,1.1233,1.1225
"2019-01-08 13:00:00",1.1233,1.1236,1.1227,1.1228
"2019-01-08 14:00:00",1.1228,1.1229,1.1227,1.1225
"2019-01-08 15:00:00",1.1227,1.1231,1.1228,1.1227
"2019-01-08 16:00:00",1.1228,1.1231,1.1226,1.1226
"2019-01-08 17:00:00",1.1226,1.1230,1.1228,1.1225
"2019-01-08 18:00:00",1.1228,1.1238,1.1235,1.1228
"2019-01-08 19:00:00",1.1236,1.1238,1.1234,1.1234
"2019-01-08 20:00:00",1.1234,1.1239,1.1238,1.1233
"2019-01-08 21:00:00",1.1238,1.1242,1.1239,1.1237
"2019-01-08 22:00:00",1.1239,1.1247,1.1244,1.1240
"2019-01-08 23:00:00",1.1244,1.1248,1.1246,1.1242
"2019-01-09 00:00:00",1.1248,1.1248,1.1245,1.1243
"2019-01-09 01:00:00",1.1245,1.1247,1.1244,1.1243
"2019-01-09 02:00:00",1.1244,1.1248,1.1245,1.1242
"2019-01-09 03:00:00",1.1246,1.1248,1.1236,1.1236
"2019-01-09 04:00:00",1.1236,1.1238,1.1229,1.1228
"2019-01-09 05:00:00",1.1229,1.1231,1.1226,1.1225
"2019-01-09 06:00:00",1.1227,1.1236,1.1233,1.1225
"2019-01-09 07:00:00",1.1234,1.1236,1.1234,1.1228
"2019-01-09 08:00:00",1.1235,1.1236,1.1210,1.1210
"2019-01-09 09:00:00",1.1211,1.1240,1.1230,1.1210
"2019-01-09 10:00:00",1.1231,1.1249,1.1243,1.1230
"2019-01-09 11:00:00",1.1245,1.1265,1.1255,1.1245
"2019-01-09 12:00:00",1.1255,1.1256,1.1252,1.1249
"2019-01-09 13:00:00",1.1253,1.1257,1.1250,1.1248
"2019-01-09 14:00:00",1.1250,1.1258,1.1256,1.1251
"2019-01-09 15:00:00",1.1256,1.1259,1.1244,1.1244
"2019-01-09 16:00:00",1.1247,1.1248,1.1246,1.1243
"2019-01-09 17:00:00",1.1246,1.1251,1.1246,1.1244
"2019-01-09 18:00:00",1.1247,1.1257,1.1248,1.1245
"2019-01-09 19:00:00",1.1249,1.1253,1.1248,1.1241
"2019-01-09 20:00:00",1.1248,1.1249,1.1238,1.1238
"2019-01-09 21:00:00",1.1239,1.1245,1.1243,1.1238
"2019-01-09 22:00:00",1.1244,1.1248,1.1241,1.1241
"2019-01-09 23:00:00",1.1241,1.1245,1.1243,1.1239
"2019-01-10 00:00:00",1.1243,1.1246,1.1243,1.1240
"2019-01-10 01:00:00",1.1245,1.1247,1.1241,1.1241
"2019-01-10 02:00:00",1.1242,1.1255,1.1252,1.1238
"2019-01-10 03:00:00",1.1255,1.1257,1.1250,1.1247
"2019-01-10 04:00:00",1.1251,1.1255,1.1248,1.1247
"2019-01-10 05:00:00",1.1248,1.1261,1.1253,1.1246
"2019-01-10 06:00:00",1.1255,1.1267,1.1264,1.1256
"2019-01-10 07:00:00",1.1267,1.1273,1.1272,1.1263
"2019-01-10 08:00:00",1.1272,1.1286,1.1279,1.1272
"2019-01-10 09:00:00",1.1285,1.1295,1.1290,1.1281
"2019-01-10 10:00:00",1.1293,1.1301,1.1293,1.1290
"2019-01-10 11:00:00",1.1294,1.1309,1.1306,1.1295
"2019-01-10 12:00:00",1.1306,1.1309,1.1308,1.1299
"2019-01-10 13:00:00",1.1309,1.1311,1.1309,1.1303
"2019-01-10 14:00:00",1.1310,1.1318,1.1316,1.1311
"2019-01-10 15:00:00",1.1317,1.1323,1.1322,1.1316
"2019-01-10 16:00:00",1.1322,1.1324,1.1319,1.1319
"2019-01-10 17:00:00",1.1319,1.1320,1.1313,1.1313
"2019-01-10 18:00:00",1.1313,1.1324,1.1323,1.1315
"2019-01-10 19:00:00",1.1323,1.1329,1.1323,1.1323
"2019-01-10 20:00:00",1.1323,1.1332,1.1329,1.1321
"2019-01-10 21:00:00",1.1329,1.1333,1.1331,1.1328
"2019-01-10 22:00:00",1.1332,1.1335,1.1333,1.1330
"2019-01-10 23:00:00",1.1333,1.1333,1.1331,1.1328
"2019-01-11 00:00:00",1.1332,1.1332,1.1328,1.1326
"2019-01-11 01:00:00",1.1328,1.1332,1.1325,1.1326
"2019-01-11 02:00:00",1.1326,1.1334,1.1321,1.1319
"2019-01-11 03:00:00",1.1322,1.1329,1.1323,1.1321
"2019-01-11 04:00:00",1.1323,1.1325,1.1320,1.1309
"2019-01-11 05:00:00",1.1321,1.1330,1.1325,1.1320
