Date,Open,High,Close,Low
"2020-01-01 17:00:00",7.4710,7.4711,7.4696,7.4696
"2020-01-01 18:00:00",7.4696,7.4704,7.4704,7.4690
"2020-01-01 19:00:00",7.4699,7.4705,7.4703,7.4694
"2020-01-01 20:00:00",7.4702,7.4705,7.4704,7.4702
"2020-01-01 21:00:00",7.4704,7.4711,7.4710,7.4704
"2020-01-01 22:00:00",7.4710,7.4710,7.4709,7.4709
"2020-01-01 23:00:00",7.4709,7.4721,7.4712,7.4709
"2020-01-02 00:00:00",7.4713,7.4722,7.4711,7.4711
"2020-01-02 01:00:00",7.4711,7.4713,7.4699,7.4695
"2020-01-02 02:00:00",7.4699,7.4702,7.4702,7.4698
"2020-01-02 03:00:00",7.4702,7.4704,7.4703,7.4702
"2020-01-02 04:00:00",7.4703,7.4704,7.4704,7.4703
"2020-01-02 05:00:00",7.4704,7.4706,7.4705,7.4704
"2020-01-02 06:00:00",7.4705,7.4712,7.4712,7.4705
"2020-01-02 07:00:00",7.4712,7.4719,7.4716,7.4712
"2020-01-02 08:00:00",7.4716,7.4716,7.4714,7.4713
"2020-01-02 09:00:00",7.4714,7.4721,7.4720,7.4714
"2020-01-02 10:00:00",7.4721,7.4721,7.4721,7.4720
"2020-01-02 11:00:00",7.4721,7.4723,7.4723,7.4721
"2020-01-02 12:00:00",7.4722,7.4728,7.4727,7.4722
"2020-01-02 13:00:00",7.4727,7.4729,7.4727,7.4725
"2020-01-02 14:00:00",7.4727,7.4728,7.4727,7.4727
"2020-01-02 15:00:00",7.4727,7.4729,7.4728,7.4727
"2020-01-02 16:00:00",7.4728,7.4730,7.4723,7.4723
"2020-01-02 17:00:00",7.4721,7.4725,7.4723,7.4722
"2020-01-02 18:00:00",7.4724,7.4725,7.4724,7.4724
"2020-01-02 19:00:00",7.4724,7.4725,7.4723,7.4723
"2020-01-02 20:00:00",7.4725,7.4728,7.4727,7.4725
"2020-01-02 21:00:00",7.4727,7.4728,7.4728,7.4727
"2020-01-02 22:00:00",7.4728,7.4728,7.4728,7.4728
"2020-01-02 23:00:00",7.4729,7.4729,7.4728,7.4728
"2020-01-03 00:00:00",7.4728,7.4729,7.4729,7.4728
"2020-01-03 01:00:00",7.4729,7.4729,7.4722,7.4721
"2020-01-03 02:00:00",7.4722,7.4723,7.4723,7.4721
"2020-01-03 03:00:00",7.4723,7.4726,7.4725,7.4722
"2020-01-03 04:00:00",7.4725,7.4731,7.4729,7.4725
