Date,Open,High,Close,Low
"2018-01-01 17:00:00",9.8308,9.8363,9.8312,9.8264
"2018-01-01 18:00:00",9.8318,9.8428,9.8409,9.8341
"2018-01-01 19:00:00",9.8414,9.8448,9.8446,9.8394
"2018-01-01 20:00:00",9.8447,9.8462,9.8402,9.8403
"2018-01-01 21:00:00",9.8403,9.8407,9.8396,9.8362
"2018-01-01 22:00:00",9.8396,9.8413,9.8350,9.8350
"2018-01-01 23:00:00",9.8351,9.8353,9.8335,9.8330
"2018-01-02 00:00:00",9.8343,9.8343,9.8255,9.8297
"2018-01-02 01:00:00",9.8326,9.8411,9.8196,9.8198
"2018-01-02 02:00:00",9.8242,9.8281,9.8018,9.8021
"2018-01-02 03:00:00",9.8024,9.8056,9.7902,9.7856
"2018-01-02 04:00:00",9.7909,9.7986,9.7905,9.7821
"2018-01-02 05:00:00",9.7910,9.8039,9.7982,9.7924
"2018-01-02 06:00:00",9.7986,9.7986,9.7810,9.7787
"2018-01-02 07:00:00",9.7815,9.7846,9.7735,9.7736
"2018-01-02 08:00:00",9.7736,9.7816,9.7688,9.7651
"2018-01-02 09:00:00",9.7691,9.7775,9.7743,9.7656
"2018-01-02 10:00:00",9.7753,9.8071,9.8019,9.7719
"2018-01-02 11:00:00",9.8017,9.8113,9.7988,9.7896
"2018-01-02 12:00:00",9.7987,9.8083,9.7898,9.7820
"2018-01-02 13:00:00",9.7907,9.7942,9.7816,9.7817
"2018-01-02 14:00:00",9.7819,9.7911,9.7806,9.7804
"2018-01-02 15:00:00",9.7820,9.7975,9.7967,9.7824
"2018-01-02 16:00:00",9.7969,9.8007,9.7938,9.7959
"2018-01-02 17:00:00",9.7959,9.7974,9.7938,9.7890
"2018-01-02 18:00:00",9.7938,9.8003,9.7942,9.7942
"2018-01-02 19:00:00",9.7940,9.7962,9.7947,9.7928
"2018-01-02 20:00:00",9.7947,9.7980,9.7901,9.7901
"2018-01-02 21:00:00",9.7903,9.7916,9.7906,9.7904
"2018-01-02 22:00:00",9.7905,9.7963,9.7903,9.7901
"2018-01-02 23:00:00",9.7912,9.7971,9.7956,9.7905
"2018-01-03 00:00:00",9.7963,9.7979,9.7966,9.7947
"2018-01-03 01:00:00",9.7968,9.8002,9.7824,9.7865
"2018-01-03 02:00:00",9.7868,9.8068,9.7990,9.7869
"2018-01-03 03:00:00",9.7999,9.8013,9.7733,9.7732
"2018-01-03 04:00:00",9.7745,9.7755,9.7578,9.7577
"2018-01-03 05:00:00",9.7577,9.7657,9.7508,9.7502
"2018-01-03 06:00:00",9.7529,9.7549,9.7372,9.7383
"2018-01-03 07:00:00",9.7383,9.7512,9.7421,9.7389
"2018-01-03 08:00:00",9.7420,9.7510,9.7467,9.7329
"2018-01-03 09:00:00",9.7482,9.7535,9.7466,9.7459
"2018-01-03 10:00:00",9.7496,9.7593,9.7531,9.7304
"2018-01-03 11:00:00",9.7580,9.7660,9.7583,9.7532
"2018-01-03 12:00:00",9.7583,9.7622,9.7523,9.7443
"2018-01-03 13:00:00",9.7542,9.7622,9.7449,9.7459
"2018-01-03 14:00:00",9.7459,9.7578,9.7413,9.7427
"2018-01-03 15:00:00",9.7428,9.7496,9.7435,9.7371
"2018-01-03 16:00:00",9.7437,9.7447,9.7331,9.7331
