Date,Open,High,Close,Low
"2012-01-02 02:00:00",1.6629,1.6647,1.6629,1.6603
"2012-01-02 03:00:00",1.6630,1.6653,1.6630,1.6616
"2012-01-02 04:00:00",1.6630,1.6663,1.6644,1.6602
"2012-01-02 05:00:00",1.6644,1.6661,1.6647,1.6624
"2012-01-02 06:00:00",1.6647,1.6658,1.6637,1.6635
"2012-01-02 07:00:00",1.6637,1.6644,1.6633,1.6622
"2012-01-02 08:00:00",1.6633,1.6635,1.6614,1.6596
"2012-01-02 09:00:00",1.6616,1.6625,1.6606,1.6605
"2012-01-02 10:00:00",1.6605,1.6622,1.6595,1.6593
"2012-01-02 11:00:00",1.6595,1.6618,1.6596,1.6589
"2012-01-02 12:00:00",1.6596,1.6610,1.6610,1.6589
"2012-01-02 13:00:00",1.6609,1.6610,1.6599,1.6591
"2012-01-02 14:00:00",1.6598,1.6604,1.6604,1.6597
"2012-01-02 15:00:00",1.6604,1.6617,1.6605,1.6598
"2012-01-02 16:00:00",1.6605,1.6615,1.6614,1.6604
"2012-01-02 17:00:00",1.6611,1.6615,1.6584,1.6584
"2012-01-02 18:00:00",1.6585,1.6586,1.6567,1.6542
"2012-01-02 19:00:00",1.6567,1.6594,1.6592,1.6548
"2012-01-02 20:00:00",1.6593,1.6602,1.6577,1.6557
"2012-01-02 21:00:00",1.6577,1.6591,1.6577,1.6574
"2012-01-02 22:00:00",1.6577,1.6582,1.6574,1.6567
"2012-01-02 23:00:00",1.6575,1.6575,1.6553,1.6553
"2012-01-03 00:00:00",1.6553,1.6556,1.6548,1.6532
"2012-01-03 01:00:00",1.6546,1.6563,1.6554,1.6536
"2012-01-03 02:00:00",1.6554,1.6575,1.6533,1.6522
"2012-01-03 03:00:00",1.6533,1.6550,1.6535,1.6519
"2012-01-03 04:00:00",1.6536,1.6548,1.6532,1.6515
"2012-01-03 05:00:00",1.6533,1.6564,1.6555,1.6527
"2012-01-03 06:00:00",1.6556,1.6558,1.6551,1.6528
"2012-01-03 07:00:00",1.6551,1.6552,1.6546,1.6529
"2012-01-03 08:00:00",1.6546,1.6562,1.6559,1.6533
"2012-01-03 09:00:00",1.6559,1.6572,1.6536,1.6527
"2012-01-03 10:00:00",1.6532,1.6545,1.6510,1.6507
"2012-01-03 11:00:00",1.6510,1.6540,1.6526,1.6509
"2012-01-03 12:00:00",1.6525,1.6538,1.6532,1.6517
"2012-01-03 13:00:00",1.6533,1.6557,1.6553,1.6530
"2012-01-03 14:00:00",1.6553,1.6561,1.6513,1.6504
"2012-01-03 15:00:00",1.6513,1.6532,1.6519,1.6507
"2012-01-03 16:00:00",1.6519,1.6528,1.6511,1.6506
"2012-01-03 17:00:00",1.6528,1.6539,1.6526,1.6504
"2012-01-03 18:00:00",1.6525,1.6533,1.6518,1.6513
"2012-01-03 19:00:00",1.6519,1.6530,1.6517,1.6514
"2012-01-03 20:00:00",1.6516,1.6538,1.6531,1.6514
"2012-01-03 21:00:00",1.6533,1.6545,1.6522,1.6521
