Date,Open,High,Close,Low
"2016-01-03 17:00:00",9.1743,9.1774,9.1746,9.1712
"2016-01-03 18:00:00",9.1729,9.1734,9.1600,9.1599
"2016-01-03 19:00:00",9.1603,9.1749,9.1638,9.1604
"2016-01-03 20:00:00",9.1638,9.1693,9.1597,9.1602
"2016-01-03 21:00:00",9.1612,9.1687,9.1654,9.1610
"2016-01-03 22:00:00",9.1654,9.1686,9.1676,9.1638
"2016-01-03 23:00:00",9.1677,9.1815,9.1729,9.1673
"2016-01-04 00:00:00",9.1731,9.1842,9.1834,9.1709
"2016-01-04 01:00:00",9.1841,9.1901,9.1869,9.1832
"2016-01-04 02:00:00",9.1869,9.1950,9.1843,9.1758
"2016-01-04 03:00:00",9.1853,9.2085,9.1896,9.1841
"2016-01-04 04:00:00",9.1911,9.1970,9.1872,9.1803
"2016-01-04 05:00:00",9.1879,9.1914,9.1743,9.1697
"2016-01-04 06:00:00",9.1761,9.1761,9.1692,9.1656
"2016-01-04 07:00:00",9.1733,9.1734,9.1665,9.1629
"2016-01-04 08:00:00",9.1706,9.1747,9.1621,9.1614
"2016-01-04 09:00:00",9.1646,9.1864,9.1661,9.1458
"2016-01-04 10:00:00",9.1697,9.1816,9.1746,9.1637
"2016-01-04 11:00:00",9.1757,9.1973,9.1897,9.1729
"2016-01-04 12:00:00",9.1901,9.2064,9.2055,9.1857
"2016-01-04 13:00:00",9.2055,9.2151,9.2089,9.2020
"2016-01-04 14:00:00",9.2094,9.2142,9.2109,9.2074
"2016-01-04 15:00:00",9.2109,9.2160,9.2011,9.2012
"2016-01-04 16:00:00",9.2014,9.2021,9.1968,9.1969
"2016-01-04 17:00:00",9.1962,9.2046,9.1993,9.1944
"2016-01-04 18:00:00",9.2013,9.2034,9.2011,9.2003
"2016-01-04 19:00:00",9.2018,9.2038,9.2033,9.1998
"2016-01-04 20:00:00",9.2033,9.2046,9.2029,9.2026
"2016-01-04 21:00:00",9.2029,9.2035,9.2035,9.2026
