Date,Open,High,Close,Low
"2020-01-01 17:00:00",1.8869,1.8912,1.8906,1.8867
"2020-01-01 18:00:00",1.8906,1.8906,1.8876,1.8875
"2020-01-01 19:00:00",1.8877,1.8905,1.8898,1.8874
"2020-01-01 20:00:00",1.8898,1.8902,1.8894,1.8890
"2020-01-01 21:00:00",1.8894,1.8894,1.8883,1.8872
"2020-01-01 22:00:00",1.8883,1.8884,1.8853,1.8836
"2020-01-01 23:00:00",1.8853,1.8866,1.8860,1.8841
"2020-01-02 00:00:00",1.8860,1.8883,1.8871,1.8851
"2020-01-02 01:00:00",1.8871,1.8892,1.8884,1.8868
"2020-01-02 02:00:00",1.8886,1.8901,1.8882,1.8874
"2020-01-02 03:00:00",1.8882,1.8890,1.8872,1.8865
"2020-01-02 04:00:00",1.8871,1.8889,1.8882,1.8870
"2020-01-02 05:00:00",1.8882,1.8896,1.8880,1.8874
"2020-01-02 06:00:00",1.8880,1.8899,1.8897,1.8870
"2020-01-02 07:00:00",1.8897,1.8910,1.8873,1.8865
"2020-01-02 08:00:00",1.8873,1.8874,1.8832,1.8821
"2020-01-02 09:00:00",1.8832,1.8833,1.8803,1.8791
"2020-01-02 10:00:00",1.8802,1.8861,1.8834,1.8802
"2020-01-02 11:00:00",1.8834,1.8841,1.8802,1.8793
"2020-01-02 12:00:00",1.8801,1.8811,1.8806,1.8788
"2020-01-02 13:00:00",1.8806,1.8823,1.8816,1.8798
"2020-01-02 14:00:00",1.8817,1.8820,1.8804,1.8802
"2020-01-02 15:00:00",1.8804,1.8815,1.8804,1.8801
"2020-01-02 16:00:00",1.8804,1.8807,1.8789,1.8788
"2020-01-02 17:00:00",1.8778,1.8815,1.8802,1.8771
"2020-01-02 18:00:00",1.8796,1.8830,1.8825,1.8794
"2020-01-02 19:00:00",1.8825,1.8842,1.8836,1.8819
"2020-01-02 20:00:00",1.8836,1.8851,1.8839,1.8825
"2020-01-02 21:00:00",1.8839,1.8859,1.8838,1.8826
"2020-01-02 22:00:00",1.8838,1.8858,1.8850,1.8834
"2020-01-02 23:00:00",1.8850,1.8852,1.8844,1.8837
"2020-01-03 00:00:00",1.8844,1.8855,1.8850,1.8839
"2020-01-03 01:00:00",1.8850,1.8851,1.8848,1.8824
"2020-01-03 02:00:00",1.8847,1.8852,1.8823,1.8812
"2020-01-03 03:00:00",1.8823,1.8852,1.8842,1.8814
"2020-01-03 04:00:00",1.8842,1.8859,1.8837,1.8831
"2020-01-03 05:00:00",1.8837,1.8864,1.8852,1.8834
"2020-01-03 06:00:00",1.8852,1.8853,1.8836,1.8829
"2020-01-03 07:00:00",1.8836,1.8838,1.8827,1.8812
"2020-01-03 08:00:00",1.8827,1.8850,1.8820,1.8819
"2020-01-03 09:00:00",1.8820,1.8838,1.8807,1.8804
"2020-01-03 10:00:00",1.8812,1.8819,1.8792,1.8781
"2020-01-03 11:00:00",1.8792,1.8812,1.8801,1.8788
"2020-01-03 12:00:00",1.8801,1.8806,1.8796,1.8785
"2020-01-03 13:00:00",1.8796,1.8804,1.8802,1.8789
"2020-01-03 14:00:00",1.8802,1.8814,1.8795,1.8793
"2020-01-03 15:00:00",1.8795,1.8802,1.8800,1.8793
"2020-01-03 16:00:00",1.8800,1.8827,1.8826,1.8796
"2020-01-05 17:00:00",1.8837,1.8850,1.8836,1.8810
"2020-01-05 18:00:00",1.8837,1.8858,1.8831,1.8821
"2020-01-05 19:00:00",1.8832,1.8836,1.8810,1.8804
"2020-01-05 20:00:00",1.8811,1.8854,1.8845,1.8807
"2020-01-05 21:00:00",1.8845,1.8851,1.8839,1.8831
"2020-01-05 22:00:00",1.8839,1.8849,1.8843,1.8833
"2020-01-05 23:00:00",1.8843,1.8848,1.8839,1.8839
"2020-01-06 00:00:00",1.8839,1.8857,1.8855,1.8838
"2020-01-06 01:00:00",1.8855,1.8858,1.8851,1.8843
"2020-01-06 02:00:00",1.8851,1.8854,1.8821,1.8813
"2020-01-06 03:00:00",1.8821,1.8872,1.8867,1.8802
"2020-01-06 04:00:00",1.8867,1.8907,1.8895,1.8860
"2020-01-06 05:00:00",1.8895,1.8939,1.8915,1.8888
"2020-01-06 06:00:00",1.8914,1.8952,1.8936,1.8914
"2020-01-06 07:00:00",1.8936,1.8936,1.8905,1.8903
"2020-01-06 08:00:00",1.8905,1.8929,1.8921,1.8903
"2020-01-06 09:00:00",1.8921,1.8977,1.8961,1.8912
"2020-01-06 10:00:00",1.8961,1.8986,1.8978,1.8953
"2020-01-06 11:00:00",1.8978,1.8999,1.8989,1.8967
"2020-01-06 12:00:00",1.8989,1.9000,1.8973,1.8972
"2020-01-06 13:00:00",1.8973,1.8981,1.8970,1.8970
"2020-01-06 14:00:00",1.8970,1.8985,1.8982,1.8969
"2020-01-06 15:00:00",1.8982,1.8983,1.8971,1.8969
"2020-01-06 16:00:00",1.8970,1.8975,1.8965,1.8964
"2020-01-06 17:00:00",1.8965,1.8992,1.8986,1.8962
"2020-01-06 18:00:00",1.8985,1.8995,1.8985,1.8982
"2020-01-06 19:00:00",1.8986,1.9015,1.9011,1.8977
"2020-01-06 20:00:00",1.9010,1.9011,1.8999,1.8986
"2020-01-06 21:00:00",1.8999,1.9009,1.9000,1.8992
"2020-01-06 22:00:00",1.9000,1.9002,1.8991,1.8983
"2020-01-06 23:00:00",1.8991,1.9013,1.9011,1.8990
"2020-01-07 00:00:00",1.9011,1.9029,1.9027,1.8986
"2020-01-07 01:00:00",1.9028,1.9044,1.9029,1.9014
"2020-01-07 02:00:00",1.9028,1.9055,1.9046,1.9016
"2020-01-07 03:00:00",1.9047,1.9115,1.9096,1.9043
"2020-01-07 04:00:00",1.9096,1.9139,1.9109,1.9087
"2020-01-07 05:00:00",1.9109,1.9130,1.9129,1.9097
"2020-01-07 06:00:00",1.9129,1.9155,1.9118,1.9117
"2020-01-07 07:00:00",1.9118,1.9119,1.9082,1.9054
"2020-01-07 08:00:00",1.9080,1.9107,1.9104,1.9051
"2020-01-07 09:00:00",1.9103,1.9128,1.9084,1.9080
"2020-01-07 10:00:00",1.9084,1.9109,1.9102,1.9068
"2020-01-07 11:00:00",1.9102,1.9139,1.9132,1.9088
"2020-01-07 12:00:00",1.9132,1.9136,1.9111,1.9111
"2020-01-07 13:00:00",1.9111,1.9122,1.9112,1.9111
"2020-01-07 14:00:00",1.9111,1.9116,1.9101,1.9100
"2020-01-07 15:00:00",1.9101,1.9106,1.9099,1.9095
"2020-01-07 16:00:00",1.9098,1.9115,1.9092,1.9091
"2020-01-07 17:00:00",1.9091,1.9115,1.9094,1.9072
"2020-01-07 18:00:00",1.9094,1.9139,1.9115,1.9088
"2020-01-07 19:00:00",1.9115,1.9144,1.9114,1.9103
"2020-01-07 20:00:00",1.9114,1.9120,1.9104,1.9087
"2020-01-07 21:00:00",1.9104,1.9109,1.9097,1.9081
"2020-01-07 22:00:00",1.9097,1.9117,1.9108,1.9086
"2020-01-07 23:00:00",1.9108,1.9113,1.9099,1.9091
"2020-01-08 00:00:00",1.9099,1.9106,1.9094,1.9087
"2020-01-08 01:00:00",1.9094,1.9111,1.9105,1.9088
"2020-01-08 02:00:00",1.9106,1.9124,1.9110,1.9093
"2020-01-08 03:00:00",1.9110,1.9151,1.9149,1.9098
"2020-01-08 04:00:00",1.9149,1.9153,1.9091,1.9073
"2020-01-08 05:00:00",1.9090,1.9126,1.9105,1.9056
"2020-01-08 06:00:00",1.9104,1.9107,1.9077,1.9066
"2020-01-08 07:00:00",1.9077,1.9105,1.9077,1.9063
"2020-01-08 08:00:00",1.9077,1.9118,1.9106,1.9063
"2020-01-08 09:00:00",1.9106,1.9141,1.9138,1.9106
"2020-01-08 10:00:00",1.9137,1.9157,1.9109,1.9099
"2020-01-08 11:00:00",1.9109,1.9118,1.9082,1.9056
"2020-01-08 12:00:00",1.9082,1.9082,1.9058,1.9053
"2020-01-08 13:00:00",1.9058,1.9069,1.9069,1.9053
"2020-01-08 14:00:00",1.9069,1.9072,1.9064,1.9061
"2020-01-08 15:00:00",1.9064,1.9080,1.9076,1.9062
"2020-01-08 16:00:00",1.9076,1.9078,1.9060,1.9056
"2020-01-08 17:00:00",1.9060,1.9085,1.9076,1.9059
"2020-01-08 18:00:00",1.9075,1.9090,1.9060,1.9058
"2020-01-08 19:00:00",1.9060,1.9077,1.9071,1.9053
"2020-01-08 20:00:00",1.9071,1.9078,1.9072,1.9058
"2020-01-08 21:00:00",1.9072,1.9077,1.9068,1.9059
"2020-01-08 22:00:00",1.9068,1.9081,1.9074,1.9065
"2020-01-08 23:00:00",1.9073,1.9086,1.9074,1.9068
"2020-01-09 00:00:00",1.9074,1.9083,1.9077,1.9071
"2020-01-09 01:00:00",1.9076,1.9089,1.9066,1.9065
"2020-01-09 02:00:00",1.9066,1.9080,1.9072,1.9055
"2020-01-09 03:00:00",1.9073,1.9092,1.9069,1.9046
"2020-01-09 04:00:00",1.9069,1.9082,1.8996,1.8984
"2020-01-09 05:00:00",1.8996,1.9013,1.9004,1.8984
"2020-01-09 06:00:00",1.9004,1.9012,1.8983,1.8970
"2020-01-09 07:00:00",1.8983,1.9004,1.9001,1.8974
"2020-01-09 08:00:00",1.9001,1.9033,1.9013,1.8980
"2020-01-09 09:00:00",1.9013,1.9038,1.9016,1.9008
"2020-01-09 10:00:00",1.9016,1.9040,1.9038,1.9013
"2020-01-09 11:00:00",1.9038,1.9064,1.9060,1.9033
"2020-01-09 12:00:00",1.9060,1.9072,1.9061,1.9052
"2020-01-09 13:00:00",1.9061,1.9063,1.9050,1.9049
"2020-01-09 14:00:00",1.9050,1.9059,1.9057,1.9050
"2020-01-09 15:00:00",1.9057,1.9064,1.9059,1.9056
"2020-01-09 16:00:00",1.9059,1.9060,1.9049,1.9049
"2020-01-09 17:00:00",1.9049,1.9067,1.9065,1.9047
"2020-01-09 18:00:00",1.9066,1.9072,1.9069,1.9058
"2020-01-09 19:00:00",1.9069,1.9072,1.9052,1.9018
"2020-01-09 20:00:00",1.9052,1.9057,1.9055,1.9034
"2020-01-09 21:00:00",1.9055,1.9062,1.9036,1.9036
"2020-01-09 22:00:00",1.9036,1.9046,1.9022,1.9021
"2020-01-09 23:00:00",1.9022,1.9028,1.9026,1.9010
"2020-01-10 00:00:00",1.9026,1.9031,1.9017,1.9006
"2020-01-10 01:00:00",1.9017,1.9027,1.9021,1.9009
"2020-01-10 02:00:00",1.9021,1.9026,1.8988,1.8985
"2020-01-10 03:00:00",1.8988,1.9014,1.9012,1.8987
"2020-01-10 04:00:00",1.9012,1.9035,1.9003,1.8980
"2020-01-10 05:00:00",1.9004,1.9013,1.8983,1.8982
"2020-01-10 06:00:00",1.8983,1.9001,1.8991,1.8979
"2020-01-10 07:00:00",1.8991,1.9026,1.9023,1.8990
"2020-01-10 08:00:00",1.9023,1.9029,1.8997,1.8982
"2020-01-10 09:00:00",1.8997,1.9002,1.8963,1.8956
"2020-01-10 10:00:00",1.8964,1.8972,1.8913,1.8909
"2020-01-10 11:00:00",1.8913,1.8939,1.8920,1.8894
"2020-01-10 12:00:00",1.8920,1.8929,1.8913,1.8895
"2020-01-10 13:00:00",1.8913,1.8920,1.8910,1.8907
"2020-01-10 14:00:00",1.8909,1.8913,1.8902,1.8894
"2020-01-10 15:00:00",1.8903,1.8909,1.8903,1.8898
"2020-01-10 16:00:00",1.8903,1.8936,1.8918,1.8901
"2020-01-12 17:00:00",1.8894,1.8906,1.8898,1.8890
"2020-01-12 18:00:00",1.8898,1.8904,1.8903,1.8883
"2020-01-12 19:00:00",1.8902,1.8906,1.8882,1.8880
"2020-01-12 20:00:00",1.8883,1.8884,1.8862,1.8856
"2020-01-12 21:00:00",1.8862,1.8867,1.8849,1.8848
"2020-01-12 22:00:00",1.8848,1.8853,1.8851,1.8835
"2020-01-12 23:00:00",1.8851,1.8861,1.8855,1.8846
"2020-01-13 00:00:00",1.8855,1.8855,1.8840,1.8829
"2020-01-13 01:00:00",1.8840,1.8840,1.8834,1.8830
"2020-01-13 02:00:00",1.8834,1.8834,1.8801,1.8789
"2020-01-13 03:00:00",1.8801,1.8817,1.8812,1.8793
"2020-01-13 04:00:00",1.8812,1.8818,1.8785,1.8770
"2020-01-13 05:00:00",1.8785,1.8838,1.8820,1.8776
"2020-01-13 06:00:00",1.8820,1.8823,1.8789,1.8787
