Date,Open,High,Close,Low
"2008-01-01 19:00:00",2.2492,2.2506,2.2490,2.2488
"2008-01-01 20:00:00",2.2491,2.2491,2.2460,2.2457
"2008-01-01 21:00:00",2.2458,2.2460,2.2453,2.2440
"2008-01-01 22:00:00",2.2452,2.2490,2.2476,2.2448
"2008-01-01 23:00:00",2.2475,2.2493,2.2474,2.2474
"2008-01-02 00:00:00",2.2480,2.2492,2.2443,2.2442
"2008-01-02 01:00:00",2.2444,2.2453,2.2413,2.2413
"2008-01-02 02:00:00",2.2414,2.2442,2.2380,2.2382
"2008-01-02 03:00:00",2.2384,2.2397,2.2357,2.2351
"2008-01-02 04:00:00",2.2363,2.2426,2.2413,2.2363
"2008-01-02 05:00:00",2.2413,2.2418,2.2325,2.2326
"2008-01-02 06:00:00",2.2326,2.2345,2.2336,2.2310
"2008-01-02 07:00:00",2.2333,2.2351,2.2312,2.2315
"2008-01-02 08:00:00",2.2315,2.2329,2.2320,2.2298
"2008-01-02 09:00:00",2.2325,2.2336,2.2301,2.2295
"2008-01-02 10:00:00",2.2301,2.2301,2.2131,2.2132
"2008-01-02 11:00:00",2.2132,2.2174,2.2155,2.2121
"2008-01-02 12:00:00",2.2158,2.2173,2.2105,2.2102
"2008-01-02 13:00:00",2.2105,2.2137,2.2131,2.2101
"2008-01-02 14:00:00",2.2133,2.2168,2.2147,2.2133
"2008-01-02 15:00:00",2.2144,2.2157,2.2155,2.2137
"2008-01-02 16:00:00",2.2154,2.2188,2.2176,2.2149
"2008-01-02 17:00:00",2.2182,2.2183,2.2175,2.2166
"2008-01-02 18:00:00",2.2177,2.2192,2.2187,2.2173
"2008-01-02 19:00:00",2.2191,2.2198,2.2188,2.2182
"2008-01-02 20:00:00",2.2187,2.2190,2.2167,2.2165
"2008-01-02 21:00:00",2.2168,2.2185,2.2172,2.2171
"2008-01-02 22:00:00",2.2173,2.2185,2.2174,2.2171
"2008-01-02 23:00:00",2.2177,2.2201,2.2186,2.2167
"2008-01-03 00:00:00",2.2186,2.2204,2.2193,2.2186
"2008-01-03 01:00:00",2.2192,2.2193,2.2160,2.2160
"2008-01-03 02:00:00",2.2165,2.2181,2.2119,2.2119
"2008-01-03 03:00:00",2.2119,2.2142,2.2100,2.2089
"2008-01-03 04:00:00",2.2099,2.2101,2.2041,2.2024
"2008-01-03 05:00:00",2.2042,2.2056,2.1951,2.1950
"2008-01-03 06:00:00",2.1956,2.2015,2.2002,2.1940
"2008-01-03 07:00:00",2.2002,2.2051,2.2040,2.1972
"2008-01-03 08:00:00",2.2051,2.2133,2.2081,2.2039
"2008-01-03 09:00:00",2.2083,2.2092,2.2022,2.2022
"2008-01-03 10:00:00",2.2023,2.2055,2.1967,2.1965
"2008-01-03 11:00:00",2.1977,2.1991,2.1973,2.1967
"2008-01-03 12:00:00",2.1977,2.2006,2.1987,2.1970
"2008-01-03 13:00:00",2.1988,2.1990,2.1946,2.1942
"2008-01-03 14:00:00",2.1948,2.1981,2.1937,2.1940
"2008-01-03 15:00:00",2.1938,2.1949,2.1927,2.1922
"2008-01-03 16:00:00",2.1926,2.1928,2.1902,2.1900
"2008-01-03 17:00:00",2.1902,2.1953,2.1938,2.1901
"2008-01-03 18:00:00",2.1941,2.1955,2.1947,2.1933
"2008-01-03 19:00:00",2.1949,2.1949,2.1912,2.1907
"2008-01-03 20:00:00",2.1917,2.1926,2.1909,2.1902
"2008-01-03 21:00:00",2.1911,2.1919,2.1915,2.1900
"2008-01-03 22:00:00",2.1916,2.1923,2.1917,2.1909
"2008-01-03 23:00:00",2.1918,2.1918,2.1911,2.1905
"2008-01-04 00:00:00",2.1912,2.1946,2.1939,2.1914
"2008-01-04 01:00:00",2.1939,2.1948,2.1912,2.1913
"2008-01-04 02:00:00",2.1914,2.1925,2.1904,2.1856
"2008-01-04 03:00:00",2.1902,2.1959,2.1929,2.1902
"2008-01-04 04:00:00",2.1936,2.2021,2.2012,2.1915
"2008-01-04 05:00:00",2.2012,2.2092,2.2074,2.2020
"2008-01-04 06:00:00",2.2078,2.2081,2.2031,2.2031
"2008-01-04 07:00:00",2.2031,2.2042,2.2029,2.2019
"2008-01-04 08:00:00",2.2031,2.2043,2.1897,2.1900
"2008-01-04 09:00:00",2.1900,2.1902,2.1857,2.1845
