Date,Open,High,Close,Low
"2016-01-03 17:00:00",2.1567,2.1582,2.1558,2.1558
"2016-01-03 18:00:00",2.1559,2.1582,2.1578,2.1550
"2016-01-03 19:00:00",2.1578,2.1643,2.1638,2.1568
"2016-01-03 20:00:00",2.1639,2.1767,2.1749,2.1636
"2016-01-03 21:00:00",2.1750,2.1775,2.1755,2.1739
"2016-01-03 22:00:00",2.1755,2.1810,2.1792,2.1741
"2016-01-03 23:00:00",2.1793,2.1814,2.1808,2.1788
"2016-01-04 00:00:00",2.1808,2.1843,2.1822,2.1797
"2016-01-04 01:00:00",2.1823,2.1828,2.1813,2.1802
"2016-01-04 02:00:00",2.1813,2.1838,2.1806,2.1788
"2016-01-04 03:00:00",2.1805,2.1850,2.1837,2.1768
"2016-01-04 04:00:00",2.1837,2.1865,2.1849,2.1826
"2016-01-04 05:00:00",2.1850,2.1869,2.1843,2.1831
"2016-01-04 06:00:00",2.1843,2.1862,2.1848,2.1817
"2016-01-04 07:00:00",2.1848,2.1927,2.1847,2.1830
"2016-01-04 08:00:00",2.1846,2.1896,2.1852,2.1836
"2016-01-04 09:00:00",2.1852,2.1866,2.1769,2.1765
"2016-01-04 10:00:00",2.1777,2.1833,2.1819,2.1765
"2016-01-04 11:00:00",2.1819,2.1836,2.1794,2.1789
"2016-01-04 12:00:00",2.1793,2.1828,2.1789,2.1788
"2016-01-04 13:00:00",2.1789,2.1823,2.1793,2.1784
"2016-01-04 14:00:00",2.1793,2.1822,2.1796,2.1792
"2016-01-04 15:00:00",2.1795,2.1830,2.1823,2.1790
"2016-01-04 16:00:00",2.1823,2.1830,2.1789,2.1788
"2016-01-04 17:00:00",2.1787,2.1827,2.1798,2.1787
"2016-01-04 18:00:00",2.1798,2.1822,2.1815,2.1795
"2016-01-04 19:00:00",2.1816,2.1824,2.1820,2.1796
"2016-01-04 20:00:00",2.1820,2.1826,2.1791,2.1776
"2016-01-04 21:00:00",2.1790,2.1825,2.1803,2.1778
"2016-01-04 22:00:00",2.1803,2.1840,2.1837,2.1796
"2016-01-04 23:00:00",2.1837,2.1852,2.1834,2.1825
"2016-01-05 00:00:00",2.1834,2.1871,2.1852,2.1832
"2016-01-05 01:00:00",2.1851,2.1868,2.1846,2.1832
"2016-01-05 02:00:00",2.1846,2.1853,2.1848,2.1819
"2016-01-05 03:00:00",2.1847,2.1896,2.1892,2.1831
"2016-01-05 04:00:00",2.1892,2.1953,2.1899,2.1886
"2016-01-05 05:00:00",2.1905,2.1919,2.1879,2.1872
"2016-01-05 06:00:00",2.1880,2.1901,2.1852,2.1849
"2016-01-05 07:00:00",2.1852,2.1879,2.1869,2.1845
"2016-01-05 08:00:00",2.1869,2.1871,2.1838,2.1810
"2016-01-05 09:00:00",2.1838,2.1948,2.1939,2.1835
"2016-01-05 10:00:00",2.1939,2.1950,2.1899,2.1891
"2016-01-05 11:00:00",2.1899,2.1929,2.1884,2.1874
"2016-01-05 12:00:00",2.1884,2.1900,2.1898,2.1872
"2016-01-05 13:00:00",2.1898,2.1921,2.1903,2.1894
"2016-01-05 14:00:00",2.1903,2.1910,2.1902,2.1886
"2016-01-05 15:00:00",2.1902,2.1904,2.1878,2.1876
"2016-01-05 16:00:00",2.1874,2.1895,2.1877,2.1872
"2016-01-05 17:00:00",2.1878,2.1905,2.1892,2.1865
"2016-01-05 18:00:00",2.1892,2.1913,2.1905,2.1878
"2016-01-05 19:00:00",2.1905,2.1923,2.1920,2.1898
"2016-01-05 20:00:00",2.1920,2.2078,2.2061,2.1917
"2016-01-05 21:00:00",2.2062,2.2108,2.2080,2.2060
"2016-01-05 22:00:00",2.2080,2.2082,2.2032,2.2020
"2016-01-05 23:00:00",2.2032,2.2045,2.2028,2.2022
"2016-01-06 00:00:00",2.2028,2.2052,2.2037,2.2015
"2016-01-06 01:00:00",2.2037,2.2068,2.2042,2.2029
"2016-01-06 02:00:00",2.2042,2.2052,2.2000,2.1981
"2016-01-06 03:00:00",2.2000,2.2059,2.2023,2.1998
"2016-01-06 04:00:00",2.2024,2.2093,2.2035,2.2022
"2016-01-06 05:00:00",2.2031,2.2090,2.2068,2.2025
"2016-01-06 06:00:00",2.2068,2.2072,2.2040,2.2021
"2016-01-06 07:00:00",2.2040,2.2053,2.2042,2.2017
"2016-01-06 08:00:00",2.2042,2.2065,2.2035,2.2010
"2016-01-06 09:00:00",2.2035,2.2044,2.2000,2.1995
"2016-01-06 10:00:00",2.2002,2.2045,2.2040,2.1956
"2016-01-06 11:00:00",2.2040,2.2041,2.2024,2.2003
"2016-01-06 12:00:00",2.2023,2.2048,2.2043,2.2019
"2016-01-06 13:00:00",2.2042,2.2059,2.2042,2.2033
"2016-01-06 14:00:00",2.2042,2.2053,2.2017,2.2007
"2016-01-06 15:00:00",2.2017,2.2061,2.2028,2.2015
"2016-01-06 16:00:00",2.2029,2.2061,2.2028,2.2020
"2016-01-06 17:00:00",2.2032,2.2056,2.2037,2.2009
"2016-01-06 18:00:00",2.2038,2.2056,2.2025,2.2013
"2016-01-06 19:00:00",2.2025,2.2026,2.2023,2.1992
"2016-01-06 20:00:00",2.2023,2.2122,2.2106,2.1985
"2016-01-06 21:00:00",2.2106,2.2118,2.2053,2.2046
"2016-01-06 22:00:00",2.2053,2.2059,2.2035,2.2033
"2016-01-06 23:00:00",2.2035,2.2046,2.2030,2.2013
"2016-01-07 00:00:00",2.2030,2.2045,2.2021,2.2021
"2016-01-07 01:00:00",2.2021,2.2053,2.2006,2.2004
"2016-01-07 02:00:00",2.2006,2.2018,2.1920,2.1920
"2016-01-07 03:00:00",2.1920,2.1981,2.1958,2.1883
"2016-01-07 04:00:00",2.1957,2.2049,2.1961,2.1937
"2016-01-07 05:00:00",2.1962,2.1971,2.1957,2.1909
"2016-01-07 06:00:00",2.1957,2.1982,2.1961,2.1938
"2016-01-07 07:00:00",2.1961,2.2095,2.2094,2.1921
"2016-01-07 08:00:00",2.2093,2.2114,2.2018,2.2011
"2016-01-07 09:00:00",2.2017,2.2031,2.2016,2.1954
"2016-01-07 10:00:00",2.2016,2.2052,2.1926,2.1919
"2016-01-07 11:00:00",2.1926,2.1959,2.1916,2.1904
"2016-01-07 12:00:00",2.1916,2.1955,2.1939,2.1891
"2016-01-07 13:00:00",2.1934,2.2050,2.2027,2.1922
"2016-01-07 14:00:00",2.2027,2.2053,2.2047,2.2007
"2016-01-07 15:00:00",2.2047,2.2074,2.2074,2.2026
"2016-01-07 16:00:00",2.2074,2.2096,2.2046,2.2045
"2016-01-07 17:00:00",2.2049,2.2076,2.2070,2.2029
"2016-01-07 18:00:00",2.2070,2.2077,2.2073,2.2036
"2016-01-07 19:00:00",2.2074,2.2091,2.2051,2.2041
"2016-01-07 20:00:00",2.2051,2.2088,2.1993,2.1884
"2016-01-07 21:00:00",2.1992,2.2034,2.2032,2.1948
"2016-01-07 22:00:00",2.2033,2.2038,2.2029,2.2006
"2016-01-07 23:00:00",2.2028,2.2031,2.2005,2.1985
"2016-01-08 00:00:00",2.2005,2.2008,2.1983,2.1981
"2016-01-08 01:00:00",2.1983,2.1990,2.1935,2.1917
"2016-01-08 02:00:00",2.1936,2.1997,2.1988,2.1922
"2016-01-08 03:00:00",2.1988,2.2011,2.2011,2.1957
"2016-01-08 04:00:00",2.2011,2.2063,2.2058,2.1997
"2016-01-08 05:00:00",2.2058,2.2099,2.2083,2.2054
"2016-01-08 06:00:00",2.2083,2.2162,2.2112,2.2071
"2016-01-08 07:00:00",2.2112,2.2113,2.2087,2.2061
"2016-01-08 08:00:00",2.2088,2.2155,2.2101,2.2051
"2016-01-08 09:00:00",2.2102,2.2224,2.2209,2.2080
"2016-01-08 10:00:00",2.2208,2.2268,2.2196,2.2164
"2016-01-08 11:00:00",2.2197,2.2200,2.2142,2.2124
"2016-01-08 12:00:00",2.2142,2.2146,2.2124,2.2090
"2016-01-08 13:00:00",2.2124,2.2169,2.2163,2.2120
"2016-01-08 14:00:00",2.2164,2.2195,2.2151,2.2150
"2016-01-08 15:00:00",2.2154,2.2183,2.2168,2.2143
"2016-01-08 16:00:00",2.2168,2.2206,2.2173,2.2149
"2016-01-10 17:00:00",2.2142,2.2245,2.2244,2.2141
"2016-01-10 18:00:00",2.2247,2.2333,2.2287,2.2216
"2016-01-10 19:00:00",2.2286,2.2311,2.2238,2.2227
"2016-01-10 20:00:00",2.2238,2.2300,2.2259,2.2170
"2016-01-10 21:00:00",2.2259,2.2260,2.2236,2.2216
"2016-01-10 22:00:00",2.2236,2.2254,2.2241,2.2213
"2016-01-10 23:00:00",2.2241,2.2276,2.2247,2.2237
"2016-01-11 00:00:00",2.2247,2.2270,2.2249,2.2239
"2016-01-11 01:00:00",2.2249,2.2263,2.2233,2.2229
"2016-01-11 02:00:00",2.2233,2.2243,2.2219,2.2182
"2016-01-11 03:00:00",2.2220,2.2277,2.2197,2.2188
"2016-01-11 04:00:00",2.2197,2.2244,2.2152,2.2122
"2016-01-11 05:00:00",2.2154,2.2283,2.2214,2.2146
"2016-01-11 06:00:00",2.2215,2.2237,2.2195,2.2190
"2016-01-11 07:00:00",2.2194,2.2226,2.2205,2.2167
"2016-01-11 08:00:00",2.2205,2.2227,2.2215,2.2168
"2016-01-11 09:00:00",2.2215,2.2242,2.2199,2.2180
"2016-01-11 10:00:00",2.2199,2.2205,2.2200,2.2149
"2016-01-11 11:00:00",2.2200,2.2222,2.2221,2.2170
"2016-01-11 12:00:00",2.2221,2.2254,2.2240,2.2217
"2016-01-11 13:00:00",2.2240,2.2260,2.2228,2.2225
"2016-01-11 14:00:00",2.2228,2.2238,2.2219,2.2203
"2016-01-11 15:00:00",2.2219,2.2222,2.2179,2.2171
"2016-01-11 16:00:00",2.2179,2.2188,2.2158,2.2148
"2016-01-11 17:00:00",2.2165,2.2180,2.2173,2.2153
"2016-01-11 18:00:00",2.2174,2.2188,2.2185,2.2153
"2016-01-11 19:00:00",2.2186,2.2220,2.2181,2.2180
"2016-01-11 20:00:00",2.2182,2.2190,2.2151,2.2139
"2016-01-11 21:00:00",2.2151,2.2173,2.2169,2.2129
"2016-01-11 22:00:00",2.2168,2.2172,2.2161,2.2143
"2016-01-11 23:00:00",2.2161,2.2164,2.2149,2.2128
"2016-01-12 00:00:00",2.2150,2.2176,2.2149,2.2142
"2016-01-12 01:00:00",2.2149,2.2184,2.2174,2.2136
"2016-01-12 02:00:00",2.2175,2.2258,2.2252,2.2174
"2016-01-12 03:00:00",2.2253,2.2271,2.2257,2.2227
"2016-01-12 04:00:00",2.2257,2.2262,2.2120,2.2104
"2016-01-12 05:00:00",2.2120,2.2128,2.2062,2.2060
"2016-01-12 06:00:00",2.2062,2.2097,2.2086,2.2048
"2016-01-12 07:00:00",2.2086,2.2089,2.2035,2.2018
"2016-01-12 08:00:00",2.2035,2.2069,2.2038,2.2017
"2016-01-12 09:00:00",2.2038,2.2064,2.1993,2.1986
"2016-01-12 10:00:00",2.1993,2.2052,2.2004,2.1981
"2016-01-12 11:00:00",2.2005,2.2082,2.2082,2.1996
"2016-01-12 12:00:00",2.2081,2.2117,2.2085,2.2072
"2016-01-12 13:00:00",2.2085,2.2096,2.2068,2.2055
"2016-01-12 14:00:00",2.2069,2.2099,2.2074,2.2067
"2016-01-12 15:00:00",2.2074,2.2094,2.2089,2.2073
"2016-01-12 16:00:00",2.2088,2.2110,2.2089,2.2069
"2016-01-12 17:00:00",2.2091,2.2100,2.2085,2.2067
"2016-01-12 18:00:00",2.2085,2.2109,2.2075,2.2062
"2016-01-12 19:00:00",2.2075,2.2097,2.2038,2.2020
"2016-01-12 20:00:00",2.2037,2.2060,2.2019,2.2010
"2016-01-12 21:00:00",2.2013,2.2022,2.2016,2.1941
"2016-01-12 22:00:00",2.2016,2.2036,2.2025,2.2013
"2016-01-12 23:00:00",2.2025,2.2033,2.2012,2.2003
"2016-01-13 00:00:00",2.2012,2.2030,2.2009,2.1993
"2016-01-13 01:00:00",2.2009,2.2037,2.2036,2.2003
"2016-01-13 02:00:00",2.2037,2.2040,2.1975,2.1975
"2016-01-13 03:00:00",2.1975,2.1999,2.1993,2.1915
"2016-01-13 04:00:00",2.1993,2.2039,2.2031,2.1990
"2016-01-13 05:00:00",2.2031,2.2038,2.1983,2.1975
"2016-01-13 06:00:00",2.1983,2.2007,2.1958,2.1957
"2016-01-13 07:00:00",2.1958,2.2006,2.1995,2.1940
"2016-01-13 08:00:00",2.1995,2.2034,2.1974,2.1971
"2016-01-13 09:00:00",2.1974,2.1992,2.1974,2.1939
"2016-01-13 10:00:00",2.1974,2.2055,2.2008,2.1973
"2016-01-13 11:00:00",2.2008,2.2063,2.2062,2.2004
"2016-01-13 12:00:00",2.2062,2.2077,2.2066,2.2032
"2016-01-13 13:00:00",2.2067,2.2127,2.2125,2.2050
"2016-01-13 14:00:00",2.2125,2.2149,2.2120,2.2110
"2016-01-13 15:00:00",2.2121,2.2137,2.2101,2.2095
"2016-01-13 16:00:00",2.2100,2.2131,2.2109,2.2083
"2016-01-13 17:00:00",2.2104,2.2192,2.2157,2.2098
"2016-01-13 18:00:00",2.2149,2.2260,2.2221,2.2136
"2016-01-13 19:00:00",2.2221,2.2281,2.2253,2.2197
"2016-01-13 20:00:00",2.2254,2.2270,2.2191,2.2189
"2016-01-13 21:00:00",2.2191,2.2218,2.2215,2.2174
"2016-01-13 22:00:00",2.2216,2.2223,2.2204,2.2181
"2016-01-13 23:00:00",2.2204,2.2239,2.2222,2.2199
"2016-01-14 00:00:00",2.2221,2.2229,2.2189,2.2188
"2016-01-14 01:00:00",2.2189,2.2209,2.2173,2.2167
"2016-01-14 02:00:00",2.2173,2.2210,2.2156,2.2140
"2016-01-14 03:00:00",2.2155,2.2257,2.2248,2.2155
"2016-01-14 04:00:00",2.2248,2.2339,2.2204,2.2199
"2016-01-14 05:00:00",2.2204,2.2332,2.2324,2.2200
"2016-01-14 06:00:00",2.2323,2.2391,2.2346,2.2305
"2016-01-14 07:00:00",2.2344,2.2393,2.2310,2.2299
"2016-01-14 08:00:00",2.2310,2.2351,2.2308,2.2278
"2016-01-14 09:00:00",2.2308,2.2431,2.2406,2.2292
"2016-01-14 10:00:00",2.2407,2.2411,2.2258,2.2249
"2016-01-14 11:00:00",2.2259,2.2300,2.2276,2.2255
"2016-01-14 12:00:00",2.2276,2.2291,2.2268,2.2244
"2016-01-14 13:00:00",2.2268,2.2272,2.2252,2.2240
"2016-01-14 14:00:00",2.2252,2.2265,2.2204,2.2201
"2016-01-14 15:00:00",2.2206,2.2262,2.2248,2.2206
"2016-01-14 16:00:00",2.2248,2.2261,2.2254,2.2223
"2016-01-14 17:00:00",2.2255,2.2271,2.2269,2.2240
"2016-01-14 18:00:00",2.2268,2.2270,2.2216,2.2207
"2016-01-14 19:00:00",2.2217,2.2271,2.2261,2.2217
"2016-01-14 20:00:00",2.2261,2.2328,2.2300,2.2253
"2016-01-14 21:00:00",2.2299,2.2361,2.2355,2.2296
"2016-01-14 22:00:00",2.2355,2.2403,2.2389,2.2339
"2016-01-14 23:00:00",2.2389,2.2408,2.2372,2.2357
"2016-01-15 00:00:00",2.2372,2.2420,2.2361,2.2361
"2016-01-15 01:00:00",2.2361,2.2410,2.2376,2.2359
"2016-01-15 02:00:00",2.2376,2.2410,2.2351,2.2326
"2016-01-15 03:00:00",2.2351,2.2446,2.2420,2.2339
"2016-01-15 04:00:00",2.2421,2.2469,2.2429,2.2365
"2016-01-15 05:00:00",2.2429,2.2451,2.2416,2.2409
"2016-01-15 06:00:00",2.2417,2.2437,2.2421,2.2384
"2016-01-15 07:00:00",2.2420,2.2459,2.2450,2.2417
"2016-01-15 08:00:00",2.2449,2.2464,2.2379,2.2352
"2016-01-15 09:00:00",2.2379,2.2397,2.2324,2.2261
"2016-01-15 10:00:00",2.2315,2.2342,2.2220,2.2219
"2016-01-15 11:00:00",2.2220,2.2240,2.2220,2.2188
