Date,Open,High,Close,Low
"2014-01-01 17:00:00",5.4219,5.4234,5.4234,5.4202
"2014-01-01 18:00:00",5.4182,5.4195,5.4186,5.4157
"2014-01-01 19:00:00",5.4190,5.4215,5.4212,5.4173
"2014-01-01 20:00:00",5.4212,5.4247,5.4196,5.4188
"2014-01-01 21:00:00",5.4196,5.4208,5.4187,5.4180
"2014-01-01 22:00:00",5.4186,5.4197,5.4187,5.4151
"2014-01-01 23:00:00",5.4190,5.4273,5.4264,5.4188
"2014-01-02 00:00:00",5.4265,5.4271,5.4220,5.4215
"2014-01-02 01:00:00",5.4222,5.4261,5.4246,5.4217
"2014-01-02 02:00:00",5.4246,5.4344,5.4319,5.4234
"2014-01-02 03:00:00",5.4319,5.4382,5.4335,5.4282
"2014-01-02 04:00:00",5.4336,5.4354,5.4327,5.4276
"2014-01-02 05:00:00",5.4326,5.4366,5.4345,5.4315
"2014-01-02 06:00:00",5.4351,5.4509,5.4485,5.4351
"2014-01-02 07:00:00",5.4485,5.4693,5.4648,5.4485
"2014-01-02 08:00:00",5.4648,5.4694,5.4633,5.4589
"2014-01-02 09:00:00",5.4633,5.4665,5.4655,5.4610
"2014-01-02 10:00:00",5.4657,5.4721,5.4606,5.4600
"2014-01-02 11:00:00",5.4606,5.4618,5.4558,5.4530
"2014-01-02 12:00:00",5.4557,5.4586,5.4538,5.4534
"2014-01-02 13:00:00",5.4539,5.4567,5.4566,5.4532
"2014-01-02 14:00:00",5.4565,5.4632,5.4628,5.4559
"2014-01-02 15:00:00",5.4629,5.4632,5.4582,5.4580
"2014-01-02 16:00:00",5.4581,5.4589,5.4548,5.4547
"2014-01-02 17:00:00",5.4547,5.4596,5.4580,5.4544
"2014-01-02 18:00:00",5.4579,5.4586,5.4575,5.4565
"2014-01-02 19:00:00",5.4574,5.4590,5.4589,5.4548
"2014-01-02 20:00:00",5.4588,5.4620,5.4616,5.4573
"2014-01-02 21:00:00",5.4616,5.4638,5.4615,5.4578
"2014-01-02 22:00:00",5.4617,5.4617,5.4602,5.4573
"2014-01-02 23:00:00",5.4603,5.4604,5.4581,5.4571
"2014-01-03 00:00:00",5.4580,5.4657,5.4644,5.4574
"2014-01-03 01:00:00",5.4643,5.4647,5.4627,5.4622
"2014-01-03 02:00:00",5.4628,5.4654,5.4630,5.4587
"2014-01-03 03:00:00",5.4630,5.4703,5.4678,5.4608
"2014-01-03 04:00:00",5.4678,5.4720,5.4648,5.4629
"2014-01-03 05:00:00",5.4649,5.4660,5.4651,5.4616
"2014-01-03 06:00:00",5.4652,5.4677,5.4677,5.4631
"2014-01-03 07:00:00",5.4678,5.4691,5.4668,5.4604
"2014-01-03 08:00:00",5.4668,5.4749,5.4687,5.4647
"2014-01-03 09:00:00",5.4687,5.4821,5.4801,5.4681
"2014-01-03 10:00:00",5.4801,5.4843,5.4788,5.4780
"2014-01-03 11:00:00",5.4789,5.4824,5.4820,5.4769
"2014-01-03 12:00:00",5.4821,5.4866,5.4824,5.4811
"2014-01-03 13:00:00",5.4821,5.4856,5.4828,5.4819
"2014-01-03 14:00:00",5.4827,5.4860,5.4843,5.4810
"2014-01-03 15:00:00",5.4845,5.4909,5.4909,5.4840
"2014-01-03 16:00:00",5.4909,5.4909,5.4884,5.4869
"2014-01-05 17:00:00",5.4864,5.4874,5.4839,5.4839
"2014-01-05 18:00:00",5.4840,5.4885,5.4858,5.4840
"2014-01-05 19:00:00",5.4858,5.4892,5.4847,5.4837
"2014-01-05 20:00:00",5.4847,5.4922,5.4910,5.4845
"2014-01-05 21:00:00",5.4909,5.4927,5.4899,5.4888
"2014-01-05 22:00:00",5.4899,5.4919,5.4906,5.4887
"2014-01-05 23:00:00",5.4907,5.4923,5.4910,5.4902
"2014-01-06 00:00:00",5.4910,5.4938,5.4925,5.4899
"2014-01-06 01:00:00",5.4924,5.4955,5.4899,5.4884
"2014-01-06 02:00:00",5.4899,5.4940,5.4920,5.4881
"2014-01-06 03:00:00",5.4919,5.4920,5.4859,5.4814
"2014-01-06 04:00:00",5.4859,5.4862,5.4799,5.4785
"2014-01-06 05:00:00",5.4799,5.4830,5.4777,5.4759
"2014-01-06 06:00:00",5.4778,5.4837,5.4822,5.4756
"2014-01-06 07:00:00",5.4824,5.4851,5.4835,5.4807
"2014-01-06 08:00:00",5.4834,5.4862,5.4849,5.4817
"2014-01-06 09:00:00",5.4849,5.4872,5.4788,5.4769
"2014-01-06 10:00:00",5.4777,5.4781,5.4675,5.4656
"2014-01-06 11:00:00",5.4676,5.4704,5.4704,5.4639
"2014-01-06 12:00:00",5.4703,5.4712,5.4691,5.4655
"2014-01-06 13:00:00",5.4691,5.4692,5.4669,5.4633
"2014-01-06 14:00:00",5.4668,5.4726,5.4705,5.4664
"2014-01-06 15:00:00",5.4706,5.4728,5.4702,5.4699
"2014-01-06 16:00:00",5.4703,5.4740,5.4731,5.4697
"2014-01-06 17:00:00",5.4730,5.4736,5.4710,5.4705
"2014-01-06 18:00:00",5.4711,5.4742,5.4727,5.4711
"2014-01-06 19:00:00",5.4727,5.4764,5.4752,5.4712
"2014-01-06 20:00:00",5.4753,5.4760,5.4746,5.4736
"2014-01-06 21:00:00",5.4746,5.4748,5.4734,5.4716
"2014-01-06 22:00:00",5.4734,5.4751,5.4745,5.4718
"2014-01-06 23:00:00",5.4746,5.4750,5.4748,5.4734
"2014-01-07 00:00:00",5.4748,5.4763,5.4761,5.4739
"2014-01-07 01:00:00",5.4761,5.4804,5.4768,5.4749
"2014-01-07 02:00:00",5.4768,5.4778,5.4771,5.4737
"2014-01-07 03:00:00",5.4771,5.4794,5.4734,5.4729
"2014-01-07 04:00:00",5.4735,5.4781,5.4772,5.4716
"2014-01-07 05:00:00",5.4773,5.4793,5.4680,5.4661
"2014-01-07 06:00:00",5.4680,5.4709,5.4700,5.4645
"2014-01-07 07:00:00",5.4700,5.4700,5.4675,5.4621
"2014-01-07 08:00:00",5.4675,5.4748,5.4732,5.4643
"2014-01-07 09:00:00",5.4731,5.4773,5.4763,5.4705
"2014-01-07 10:00:00",5.4762,5.4863,5.4821,5.4759
"2014-01-07 11:00:00",5.4821,5.4828,5.4777,5.4758
"2014-01-07 12:00:00",5.4777,5.4779,5.4729,5.4685
"2014-01-07 13:00:00",5.4729,5.4784,5.4777,5.4721
"2014-01-07 14:00:00",5.4777,5.4794,5.4777,5.4760
"2014-01-07 15:00:00",5.4776,5.4798,5.4792,5.4773
"2014-01-07 16:00:00",5.4792,5.4796,5.4785,5.4781
"2014-01-07 17:00:00",5.4785,5.4811,5.4790,5.4774
"2014-01-07 18:00:00",5.4791,5.4791,5.4777,5.4774
"2014-01-07 19:00:00",5.4777,5.4826,5.4815,5.4777
"2014-01-07 20:00:00",5.4816,5.4822,5.4734,5.4716
"2014-01-07 21:00:00",5.4734,5.4740,5.4733,5.4725
"2014-01-07 22:00:00",5.4733,5.4766,5.4758,5.4733
"2014-01-07 23:00:00",5.4757,5.4760,5.4718,5.4714
"2014-01-08 00:00:00",5.4718,5.4741,5.4728,5.4705
"2014-01-08 01:00:00",5.4727,5.4748,5.4735,5.4714
"2014-01-08 02:00:00",5.4735,5.4781,5.4777,5.4733
"2014-01-08 03:00:00",5.4778,5.4853,5.4820,5.4778
"2014-01-08 04:00:00",5.4820,5.4859,5.4838,5.4805
"2014-01-08 05:00:00",5.4837,5.4930,5.4916,5.4818
"2014-01-08 06:00:00",5.4917,5.4931,5.4920,5.4895
"2014-01-08 07:00:00",5.4921,5.4925,5.4894,5.4876
"2014-01-08 08:00:00",5.4894,5.4982,5.4874,5.4860
"2014-01-08 09:00:00",5.4873,5.4894,5.4850,5.4821
"2014-01-08 10:00:00",5.4848,5.4856,5.4854,5.4780
"2014-01-08 11:00:00",5.4854,5.4915,5.4909,5.4836
"2014-01-08 12:00:00",5.4909,5.5022,5.4969,5.4909
"2014-01-08 13:00:00",5.4970,5.5008,5.4968,5.4958
"2014-01-08 14:00:00",5.4967,5.5039,5.4924,5.4907
"2014-01-08 15:00:00",5.4931,5.4963,5.4925,5.4906
"2014-01-08 16:00:00",5.4927,5.4959,5.4950,5.4923
"2014-01-08 17:00:00",5.4952,5.4966,5.4954,5.4936
"2014-01-08 18:00:00",5.4954,5.4971,5.4968,5.4941
"2014-01-08 19:00:00",5.4969,5.4988,5.4952,5.4944
"2014-01-08 20:00:00",5.4953,5.4969,5.4940,5.4935
"2014-01-08 21:00:00",5.4940,5.4970,5.4945,5.4938
"2014-01-08 22:00:00",5.4945,5.4947,5.4937,5.4911
"2014-01-08 23:00:00",5.4937,5.4952,5.4937,5.4936
"2014-01-09 00:00:00",5.4938,5.4944,5.4902,5.4891
"2014-01-09 01:00:00",5.4900,5.4901,5.4875,5.4872
"2014-01-09 02:00:00",5.4875,5.4885,5.4849,5.4847
"2014-01-09 03:00:00",5.4849,5.4881,5.4816,5.4805
"2014-01-09 04:00:00",5.4816,5.4832,5.4813,5.4765
"2014-01-09 05:00:00",5.4816,5.4846,5.4810,5.4783
"2014-01-09 06:00:00",5.4809,5.4854,5.4846,5.4789
"2014-01-09 07:00:00",5.4847,5.4868,5.4814,5.4788
"2014-01-09 08:00:00",5.4814,5.5061,5.4985,5.4719
"2014-01-09 09:00:00",5.4986,5.5057,5.4977,5.4922
"2014-01-09 10:00:00",5.4976,5.4984,5.4914,5.4869
"2014-01-09 11:00:00",5.4916,5.4925,5.4894,5.4878
"2014-01-09 12:00:00",5.4894,5.4933,5.4924,5.4873
"2014-01-09 13:00:00",5.4925,5.4925,5.4910,5.4902
"2014-01-09 14:00:00",5.4910,5.4917,5.4895,5.4886
"2014-01-09 15:00:00",5.4893,5.4905,5.4837,5.4812
"2014-01-09 16:00:00",5.4836,5.4845,5.4822,5.4811
"2014-01-09 17:00:00",5.4821,5.4850,5.4848,5.4819
"2014-01-09 18:00:00",5.4846,5.4847,5.4830,5.4814
"2014-01-09 19:00:00",5.4830,5.4843,5.4829,5.4813
"2014-01-09 20:00:00",5.4829,5.4834,5.4820,5.4803
"2014-01-09 21:00:00",5.4822,5.4840,5.4814,5.4813
"2014-01-09 22:00:00",5.4814,5.4823,5.4810,5.4800
"2014-01-09 23:00:00",5.4810,5.4826,5.4805,5.4792
"2014-01-10 00:00:00",5.4806,5.4820,5.4799,5.4798
"2014-01-10 01:00:00",5.4801,5.4817,5.4813,5.4777
"2014-01-10 02:00:00",5.4814,5.4836,5.4807,5.4792
"2014-01-10 03:00:00",5.4807,5.4855,5.4836,5.4803
"2014-01-10 04:00:00",5.4836,5.4880,5.4864,5.4828
"2014-01-10 05:00:00",5.4865,5.4902,5.4898,5.4855
"2014-01-10 06:00:00",5.4898,5.4901,5.4880,5.4857
"2014-01-10 07:00:00",5.4880,5.4916,5.4904,5.4870
"2014-01-10 08:00:00",5.4905,5.4966,5.4716,5.4608
"2014-01-10 09:00:00",5.4715,5.4764,5.4563,5.4543
"2014-01-10 10:00:00",5.4563,5.4584,5.4573,5.4511
"2014-01-10 11:00:00",5.4573,5.4629,5.4614,5.4560
"2014-01-10 12:00:00",5.4614,5.4637,5.4609,5.4596
"2014-01-10 13:00:00",5.4608,5.4626,5.4578,5.4574
"2014-01-10 14:00:00",5.4578,5.4627,5.4621,5.4563
"2014-01-10 15:00:00",5.4621,5.4628,5.4603,5.4590
"2014-01-10 16:00:00",5.4603,5.4613,5.4583,5.4580
"2014-01-12 17:00:00",5.4553,5.4597,5.4594,5.4552
"2014-01-12 18:00:00",5.4595,5.4605,5.4575,5.4571
"2014-01-12 19:00:00",5.4576,5.4616,5.4613,5.4574
"2014-01-12 20:00:00",5.4612,5.4612,5.4605,5.4563
"2014-01-12 21:00:00",5.4605,5.4605,5.4563,5.4538
"2014-01-12 22:00:00",5.4562,5.4567,5.4532,5.4524
"2014-01-12 23:00:00",5.4533,5.4552,5.4547,5.4531
"2014-01-13 00:00:00",5.4547,5.4560,5.4555,5.4538
"2014-01-13 01:00:00",5.4556,5.4591,5.4579,5.4551
"2014-01-13 02:00:00",5.4579,5.4596,5.4561,5.4560
"2014-01-13 03:00:00",5.4562,5.4633,5.4597,5.4538
"2014-01-13 04:00:00",5.4595,5.4636,5.4611,5.4591
"2014-01-13 05:00:00",5.4610,5.4626,5.4613,5.4579
"2014-01-13 06:00:00",5.4614,5.4631,5.4598,5.4586
"2014-01-13 07:00:00",5.4598,5.4610,5.4596,5.4577
"2014-01-13 08:00:00",5.4596,5.4712,5.4676,5.4593
"2014-01-13 09:00:00",5.4677,5.4707,5.4650,5.4619
"2014-01-13 10:00:00",5.4651,5.4696,5.4652,5.4639
"2014-01-13 11:00:00",5.4654,5.4693,5.4680,5.4645
"2014-01-13 12:00:00",5.4680,5.4691,5.4649,5.4620
"2014-01-13 13:00:00",5.4649,5.4677,5.4635,5.4616
"2014-01-13 14:00:00",5.4633,5.4643,5.4572,5.4557
"2014-01-13 15:00:00",5.4571,5.4600,5.4563,5.4561
"2014-01-13 16:00:00",5.4563,5.4594,5.4580,5.4559
"2014-01-13 17:00:00",5.4580,5.4604,5.4593,5.4570
"2014-01-13 18:00:00",5.4592,5.4600,5.4589,5.4581
"2014-01-13 19:00:00",5.4591,5.4612,5.4590,5.4583
"2014-01-13 20:00:00",5.4589,5.4640,5.4638,5.4586
"2014-01-13 21:00:00",5.4638,5.4638,5.4609,5.4609
"2014-01-13 22:00:00",5.4609,5.4620,5.4619,5.4597
"2014-01-13 23:00:00",5.4619,5.4631,5.4604,5.4604
"2014-01-14 00:00:00",5.4603,5.4610,5.4600,5.4582
"2014-01-14 01:00:00",5.4600,5.4611,5.4611,5.4594
"2014-01-14 02:00:00",5.4611,5.4668,5.4625,5.4602
"2014-01-14 03:00:00",5.4625,5.4637,5.4534,5.4467
"2014-01-14 04:00:00",5.4534,5.4587,5.4568,5.4517
"2014-01-14 05:00:00",5.4568,5.4614,5.4563,5.4534
"2014-01-14 06:00:00",5.4563,5.4566,5.4558,5.4522
"2014-01-14 07:00:00",5.4558,5.4599,5.4579,5.4536
"2014-01-14 08:00:00",5.4579,5.4629,5.4591,5.4547
"2014-01-14 09:00:00",5.4591,5.4624,5.4580,5.4565
"2014-01-14 10:00:00",5.4581,5.4582,5.4517,5.4502
"2014-01-14 11:00:00",5.4517,5.4576,5.4539,5.4512
"2014-01-14 12:00:00",5.4539,5.4546,5.4532,5.4505
"2014-01-14 13:00:00",5.4531,5.4573,5.4563,5.4519
"2014-01-14 14:00:00",5.4563,5.4577,5.4575,5.4546
"2014-01-14 15:00:00",5.4576,5.4581,5.4540,5.4529
"2014-01-14 16:00:00",5.4540,5.4558,5.4546,5.4536
"2014-01-14 17:00:00",5.4547,5.4580,5.4572,5.4539
"2014-01-14 18:00:00",5.4574,5.4599,5.4594,5.4558
"2014-01-14 19:00:00",5.4594,5.4594,5.4577,5.4572
"2014-01-14 20:00:00",5.4576,5.4727,5.4707,5.4569
"2014-01-14 21:00:00",5.4708,5.4729,5.4702,5.4684
"2014-01-14 22:00:00",5.4704,5.4753,5.4722,5.4703
"2014-01-14 23:00:00",5.4721,5.4736,5.4728,5.4719
"2014-01-15 00:00:00",5.4728,5.4744,5.4724,5.4705
"2014-01-15 01:00:00",5.4724,5.4727,5.4705,5.4700
"2014-01-15 02:00:00",5.4704,5.4736,5.4688,5.4684
"2014-01-15 03:00:00",5.4690,5.4786,5.4771,5.4690
"2014-01-15 04:00:00",5.4771,5.4829,5.4796,5.4766
"2014-01-15 05:00:00",5.4796,5.4804,5.4778,5.4742
"2014-01-15 06:00:00",5.4778,5.4797,5.4795,5.4754
"2014-01-15 07:00:00",5.4794,5.4842,5.4813,5.4781
"2014-01-15 08:00:00",5.4813,5.4922,5.4867,5.4811
"2014-01-15 09:00:00",5.4867,5.4917,5.4908,5.4816
"2014-01-15 10:00:00",5.4908,5.4939,5.4885,5.4835
"2014-01-15 11:00:00",5.4885,5.4910,5.4848,5.4836
"2014-01-15 12:00:00",5.4849,5.4908,5.4888,5.4846
"2014-01-15 13:00:00",5.4888,5.4909,5.4888,5.4874
"2014-01-15 14:00:00",5.4888,5.4888,5.4859,5.4844
"2014-01-15 15:00:00",5.4859,5.4865,5.4844,5.4836
"2014-01-15 16:00:00",5.4843,5.4853,5.4840,5.4830
"2014-01-15 17:00:00",5.4840,5.4851,5.4842,5.4834
"2014-01-15 18:00:00",5.4844,5.4881,5.4862,5.4839
"2014-01-15 19:00:00",5.4862,5.4916,5.4872,5.4860
"2014-01-15 20:00:00",5.4871,5.4871,5.4788,5.4781
"2014-01-15 21:00:00",5.4788,5.4801,5.4782,5.4773
"2014-01-15 22:00:00",5.4782,5.4789,5.4786,5.4768
"2014-01-15 23:00:00",5.4785,5.4793,5.4772,5.4767
"2014-01-16 00:00:00",5.4773,5.4802,5.4785,5.4772
"2014-01-16 01:00:00",5.4786,5.4796,5.4777,5.4750
"2014-01-16 02:00:00",5.4778,5.4838,5.4828,5.4762
"2014-01-16 03:00:00",5.4827,5.4875,5.4835,5.4801
"2014-01-16 04:00:00",5.4835,5.4837,5.4771,5.4750
"2014-01-16 05:00:00",5.4771,5.4809,5.4803,5.4752
"2014-01-16 06:00:00",5.4803,5.4843,5.4816,5.4785
"2014-01-16 07:00:00",5.4815,5.4865,5.4855,5.4811
"2014-01-16 08:00:00",5.4855,5.4889,5.4742,5.4729
"2014-01-16 09:00:00",5.4738,5.4759,5.4748,5.4663
"2014-01-16 10:00:00",5.4751,5.4873,5.4863,5.4676
"2014-01-16 11:00:00",5.4863,5.4873,5.4866,5.4822
"2014-01-16 12:00:00",5.4866,5.4934,5.4893,5.4863
"2014-01-16 13:00:00",5.4892,5.4897,5.4865,5.4856
"2014-01-16 14:00:00",5.4866,5.4876,5.4803,5.4791
"2014-01-16 15:00:00",5.4805,5.4813,5.4787,5.4771
"2014-01-16 16:00:00",5.4787,5.4798,5.4784,5.4776
"2014-01-16 17:00:00",5.4784,5.4811,5.4798,5.4781
"2014-01-16 18:00:00",5.4797,5.4811,5.4802,5.4791
"2014-01-16 19:00:00",5.4801,5.4826,5.4790,5.4790
"2014-01-16 20:00:00",5.4790,5.4815,5.4811,5.4782
"2014-01-16 21:00:00",5.4812,5.4822,5.4799,5.4799
"2014-01-16 22:00:00",5.4799,5.4807,5.4804,5.4786
"2014-01-16 23:00:00",5.4804,5.4811,5.4811,5.4796
"2014-01-17 00:00:00",5.4812,5.4814,5.4807,5.4795
"2014-01-17 01:00:00",5.4805,5.4829,5.4801,5.4801
"2014-01-17 02:00:00",5.4801,5.4890,5.4873,5.4779
"2014-01-17 03:00:00",5.4873,5.4881,5.4860,5.4834
