Date,Open,High,Close,Low
"2016-01-03 17:00:00",7.7505,7.7506,7.7502,7.7500
"2016-01-03 18:00:00",7.7507,7.7507,7.7504,7.7502
"2016-01-03 19:00:00",7.7504,7.7506,7.7505,7.7503
"2016-01-03 20:00:00",7.7506,7.7541,7.7521,7.7506
"2016-01-03 21:00:00",7.7523,7.7523,7.7516,7.7516
"2016-01-03 22:00:00",7.7517,7.7517,7.7509,7.7509
"2016-01-03 23:00:00",7.7509,7.7511,7.7511,7.7508
"2016-01-04 00:00:00",7.7511,7.7516,7.7513,7.7511
"2016-01-04 01:00:00",7.7513,7.7513,7.7509,7.7509
"2016-01-04 02:00:00",7.7508,7.7509,7.7508,7.7506
"2016-01-04 03:00:00",7.7508,7.7510,7.7509,7.7507
"2016-01-04 04:00:00",7.7509,7.7510,7.7502,7.7502
"2016-01-04 05:00:00",7.7502,7.7506,7.7504,7.7503
"2016-01-04 06:00:00",7.7504,7.7505,7.7502,7.7502
"2016-01-04 07:00:00",7.7503,7.7508,7.7507,7.7502
"2016-01-04 08:00:00",7.7507,7.7507,7.7507,7.7506
"2016-01-04 09:00:00",7.7507,7.7511,7.7510,7.7506
"2016-01-04 10:00:00",7.7510,7.7511,7.7510,7.7510
"2016-01-04 11:00:00",7.7511,7.7514,7.7507,7.7506
"2016-01-04 12:00:00",7.7507,7.7513,7.7512,7.7507
"2016-01-04 13:00:00",7.7512,7.7517,7.7515,7.7510
"2016-01-04 14:00:00",7.7514,7.7518,7.7517,7.7514
"2016-01-04 15:00:00",7.7517,7.7518,7.7516,7.7515
"2016-01-04 16:00:00",7.7518,7.7518,7.7508,7.7508
"2016-01-04 17:00:00",7.7507,7.7517,7.7509,7.7507
"2016-01-04 18:00:00",7.7511,7.7515,7.7513,7.7510
"2016-01-04 19:00:00",7.7514,7.7515,7.7509,7.7507
"2016-01-04 20:00:00",7.7509,7.7510,7.7510,7.7508
"2016-01-04 21:00:00",7.7510,7.7510,7.7509,7.7509
"2016-01-04 22:00:00",7.7510,7.7516,7.7514,7.7509
"2016-01-04 23:00:00",7.7513,7.7514,7.7511,7.7511
"2016-01-05 00:00:00",7.7511,7.7512,7.7512,7.7511
"2016-01-05 01:00:00",7.7512,7.7513,7.7510,7.7509
